fname_c1,fname_c2,lname_c1,lname_c2,by,bm,bd,rec_id,ent_id
WOLFGANG,NA,WEISS,NA,1938,4,4,72,4491
MAIK,NA,SCHMIDT,NA,1977,11,12,73,934
DIETER,NA,HOFFMANN,NA,1959,1,24,74,254
HERMAANN,NA,MUELLER,NA,1990,10,2,75,1373
OTTO,NA,MAYER,NA,1958,2,15,76,4238
RAINER,NA,HUBER,NA,1958,1,19,77,3265
GERHARD,NA,SCHMIDT,NA,1957,11,17,78,1193
HORST,THOMAS,SCHROEDER,NA,1936,5,10,79,895
THORSTEN,NA,MAYER,NA,1993,9,18,80,2295
PETER,NA,SCHOLZ,NA,1982,9,12,81,473
STEFAN,NA,KUHN,NA,1939,10,23,82,3601
MATTHIAS,NA,MOELLER,NA,1956,6,28,83,3942
GERHARD,NA,SIMON,NA,1935,8,7,84,2943
HARALD,NA,FUCHS,NA,1954,11,20,85,3584
RUDOLF,NA,SCHMITZ,NA,2005,11,6,86,1962
HEINZ,NA,MAOER,NA,1949,0,13,87,200
STEFAN,NA,HOFFMANN,NA,1934,4,1,88,3463
SVEN,NA,BAUER,NA,1935,1,23,89,3647
CHRISTIAN,NA,SCHMIDT,NA,1970,12,13,90,1997
CHRISTIAN,NA,SCHROEDER,NA,1961,10,6,91,1222
JUERGEN,NA,BRAUN,NA,2007,10,16,92,3719
GERHARD,NA,WALTER,NA,1963,11,5,93,4323
HELMUT,NA,SIMON,NA,1973,4,17,94,104
ANDREAS,NA,HOFFMANN,NA,1990,1,23,95,178
FRANK,NA,KRAUS,NA,1966,5,26,96,4428
STEFAN,NA,BAUER,NA,1956,6,28,97,528
UWE,NA,JAEGER,NA,1960,10,23,98,523
RALF,NA,HUBER,NA,1964,10,13,99,2744
KURT,NA,SCHMIDT,NA,1959,8,31,100,4436
WERNER,NA,SIMON,NA,1971,4,29,101,1751
MICHAEL,NA,BAUMANN,NA,1927,9,29,102,2768
HANS,VOLKER,WAGNER,NA,1966,10,5,103,1561
NORBERT,NA,SCHMIDT,NA,1935,6,16,104,323
HERMANN,NA,HORN,NA,1939,7,12,105,8
DIETER,NA,SCHAEFR,NA,1952,12,12,106,363
SVEN,NA,WINTER,NA,1993,6,16,107,2404
GUENTHER,NA,KRUEGER,MARTIN,1976,11,16,108,3917
CHRISTIAN,NA,MUELLER,NA,1939,4,3,109,3563
HEINZA,NA,WINKLER,NA,1965,12,7,110,1478
HEINZ,NA,BAUER,NA,2004,9,17,111,3162
MARTIYN,NA,MAIRR,NA,2008,2,1,112,2465
SVEN,NA,FISCHER,NA,1950,6,12,113,1648
JUERGEN,NA,MEIER,NA,1952,8,13,114,2729
HERMANN,NA,SCHMIDT,NA,1954,8,26,115,2634
FRANK,NA,SCHULZ,NA,1959,5,18,116,4083
CHRISTOPH,NA,GUENTHER,NA,1986,5,8,117,1641
GERHARD,NA,WAGNER,NA,1950,5,30,118,1041
CHRISTIAN,NA,BRAUN,NA,1967,6,27,119,1778
MAIK,NA,MEYER,NA,1948,10,27,120,3313
GUENTHER,NA,JUNG,NA,1955,11,6,121,1762
STEFAN,HORST,BECK,NA,2007,9,22,122,285
PETER,NA,SCHNEIDER,NA,1940,1,16,123,852
HANS,NA,SCHNEIDER,NA,1941,12,17,124,4375
WERNER,NA,SCHMITT,NA,1927,1,19,125,564
DENNIS,NA,SCHOLZ,NA,1983,7,24,126,3644
DETLEF,NA,SCHULZ,NA,2000,8,12,127,1424
CHRISTIAN,NA,MUELLER,NA,2005,12,12,128,1986
BERND,NA,SCHMID,NA,1957,1,28,129,3502
HEINRICH,CHRISTIAN,STEIN,NA,1946,6,29,130,4063
ALEXANDER,NA,WALTER,NA,2008,11,7,131,3201
GUENTHER,NA,BECKER,NA,1925,7,16,132,982
OLAF,NA,KAISER,NA,1941,9,3,133,1551
THOMAS,NA,JUNG,NA,1987,2,9,134,3549
JOACHIM,NA,SCHULZ,NA,1959,8,15,135,2283
ROLF,WOLFGANG,KRAUSE,NA,1955,12,21,136,2781
MAIK,NA,SCHMIDT,NA,1970,9,28,137,662
DANIEL,NA,SCHMIDT,NA,1964,11,15,138,4082
JUERGEN,NA,MUELLER,NA,1929,8,26,139,744
MATTHIAS,NA,SCHNEIDER,NA,1953,3,18,140,901
OLAF,NA,WAGNER,NA,1997,6,12,141,3467
JOERN,NA,KOCH,NA,1987,12,17,142,288
WOLFGANG,NA,JAEGER,NA,1952,6,5,143,3765
RENE,NA,VOGT,NA,1964,1,6,144,1047
DANIEL,NA,BAUER,NA,1965,3,20,145,1278
JOERG,NA,KOCH,NA,2001,2,3,146,3390
THORSTEN,NA,RICHTER,NA,1962,12,29,147,7
UWE,NA,SCHMIDT,NA,1982,11,26,148,537
HEINRICH,NA,MUELLER,NA,1985,6,14,149,1822
SEBASTIAN,NA,SCHNEIDER,NA,2001,5,3,150,383
WERNER,NA,BECKER,NA,1994,9,21,151,3137
RENE,NA,WALTER,NA,1952,3,24,152,1136
RALF,NA,MEYER,NA,1971,2,26,153,4234
JAN,NA,MUELLER,NA,1970,10,22,154,1735
HORST,NA,WALTER,NA,1948,7,25,155,739
GUENTHER,NA,MEYER,NA,1978,5,17,156,2258
OTTO,NA,POHL,NA,1938,6,5,157,483
CHRISTIAN,NA,HOFMANN,NA,1966,6,21,158,778
CARSTEN,NA,KOEHLER,NA,1969,12,14,159,1072
OTTO,NA,HARTMANN,NA,2000,6,5,160,3
GUENTHER,NA,LORENZ,NA,1981,8,21,161,1944
STEFAN,NA,SCHOLZ,NA,1962,1,30,162,2576
MICHAEL,NA,KELLER,NA,1984,8,5,163,834
WOLFGANG,NA,HAAS,NA,1965,2,9,164,654
PHILIPP,NA,MUELLER,NA,1936,1,27,165,434
THORSTEN,NA,MOELLER,NA,1965,2,24,166,1238
SVEN,NA,MUELLER,NA,1969,2,9,167,1668
ANDREAS,NA,RICHTER,NA,1944,7,6,168,705
KURT,NA,BECKER,NA,1939,9,3,169,3461
OLIVER,NA,MUELLRR,NA,1949,8,19,170,3897
STEFAN,NA,SCHROEDER,NA,1929,8,17,171,12
DENNIS,NA,DIETRICH,NA,1944,2,24,172,4277
JUERGUEN,NA,WAGNER,HOFFMANN,1970,2,25,173,2907
CHRISTIAN,NA,FISCHER,NA,1935,10,6,174,1407
HELMUT,JUERGEN,HUBER,NA,1986,12,29,175,3515
ANDREAS,VOLKER,MAYER,NA,1964,4,11,176,886
REINHARD,NA,MUELLER,NA,1997,5,11,177,1676
MARTIN,NA,SCHUBERT,NA,1948,11,20,178,144
ANDRE,NA,FRANKE,NA,2007,6,23,179,3773
JOACHIM,NA,BRAUN,NA,1943,12,27,180,792
MATTHIAS,NA,MAYER,NA,1967,2,5,181,280
GUENTHER,OLAF,SCHMIDT,NA,1967,3,26,182,1335
BERND,NA,HOFMANN,NA,1950,1,4,183,3312
NILS,NA,BECKER,NA,1942,11,3,184,4170
JOHANNES,NA,SCHAEFER,NA,1952,8,7,185,1714
GUENTHER,NA,SCHMIDT,NA,1963,7,12,186,623
WILHELM,NA,WINTER,NA,1962,7,15,187,1842
STEFAN,NA,SCHNEIDER,NA,1966,4,23,188,2076
WOLFGANG,NA,SCHMIDT,NA,1975,7,1,189,2338
UWE,NA,LUDWIG,NA,1936,2,22,190,2348
ERNST,NA,SCHULZ,NA,1926,6,2,191,2817
MARTIN,NA,KRAUS,NA,1986,7,9,192,2940
BERND,NA,MAIER,NA,1930,4,17,193,3550
WALTER,NA,JUNG,NA,1996,10,26,194,2655
MANFRED,NA,BERGMANN,NA,1964,10,15,195,3263
BERND,NA,MUELLER,NA,2003,9,8,196,2874
ANDREAS,NA,WAGNER,NA,1944,1,26,197,47
SVEN,NA,SCHMIDT,NA,1935,12,15,198,2456
GUENTHER,NA,WEBER,NA,1960,7,6,199,1143
MICHAEL,NA,BECKER,NA,1942,3,26,200,3598
MICHAEL,NA,SCHMITZ,NA,2002,5,10,201,2489
BERND,NA,BECKER,NA,1944,7,18,202,3106
HERMANN,NA,WOLF,NA,1955,1,30,203,1108
THOMAS,NA,BAUER,NA,1931,3,25,204,381
JOERG,NA,KRAUSE,NA,1984,4,11,205,1063
HEINZ,NA,GROSS,NA,1940,8,16,206,556
PETER,NA,SEIDEL,NA,1961,10,26,207,2672
STEFAN,NA,SCHWARZ,NA,1963,10,29,208,4254
ROBEFRT,NA,WEBEE,NA,1926,6,16,209,342
HANS,NA,SCHMID,NA,1963,2,25,210,1800
STEFAN,UWE,WAGNER,NA,1936,10,25,211,463
OLIVER,NA,SCHAEFER,NA,1977,9,1,212,2677
ANDRE,NA,SCHULZE,NA,2000,10,29,213,1487
WERNER,NA,WALTER,NA,2002,12,31,214,505
HARALD,NA,PETERS,NA,1966,4,16,215,2421
KLAUS,NA,SCHULZ,NA,1927,4,25,216,757
KARL,NA,HOFFMANN,NA,1985,2,11,217,4133
JAN,NA,MAYER,NA,1957,2,6,218,3315
ERNST,NA,WOLFF,NA,1943,9,26,219,1924
RALF,NA,HAHN,NA,1997,2,7,220,242
RAINER,NA,MUEGLLER,NA,1961,7,6,221,4149
GERHARD,NA,WALTER,NA,1979,12,3,222,2903
MATTHIAS,NA,KOERTIG,NA,1954,9,11,223,34
MICHAEL,NA,ALBRECHT,NA,1963,11,22,224,4167
WOLFGANG,HANS,HAHN,NA,1967,8,11,225,359
FRANK,NA,LEHMANN,NA,1951,8,18,226,1284
WERNER,NA,LUDWIG,NA,1937,12,21,227,3612
CHRISTIAN,NA,HORN,NA,1950,7,13,228,272
PETER,NA,KOERTIG,NA,1991,4,27,229,2414
MARCO,NA,LEHMANN,NA,1944,7,18,230,2121
THOMAS,NA,STEIN,NA,1938,12,19,231,752
MANFRED,NA,SCHMITT,NA,1931,7,15,232,3158
MANFRED,NA,WERNER,NA,1954,3,14,233,1833
OLIVER,NA,ZIMMERMANN,NA,1960,11,13,234,174
HORST,NA,SCHMIDT,NA,1952,9,27,235,4246
THOMAS,NA,SCHMIDT,NA,1971,5,9,236,495
MICHAEL,NA,SCHWARZ,NA,1972,3,27,237,3107
KARL,NA,MAIER,NA,1964,11,29,238,784
MANFRED,NA,WEBER,NA,1934,2,9,239,2433
SVEN,NA,KRUEGER,NA,1992,1,22,240,338
HEINZ,NA,POHL,NA,1992,8,6,241,3328
HANS,NA,SCHULTE,NA,1964,10,1,242,3555
ROBERT,NA,SCHROEDER,NA,2001,12,64,243,1632
JOACHIM,NA,MARTIN,NA,2006,5,28,244,2944
HEINRICH,CHRISTIAN,STEIN,NA,1946,6,28,245,4063
OLIVER,NA,SCHREIBER,NA,1957,5,15,246,2808
PETER,NA,GROSS,NA,1980,4,21,247,2685
PETER,NA,WINKLER,NA,1986,12,14,248,398
HARALD,NA,BAUER,NA,1986,1,5,249,686
THOMAS,NA,ROTH,NA,1973,3,25,250,1993
ANDREAS,NA,SCHULTE,NA,1962,2,18,251,4359
KLAUS,NA,SCHROEDER,NA,1969,7,29,252,2315
ANDRE,NA,SCHREIBER,NA,1981,9,23,253,4237
HEINRICH,NA,WEBER,NA,2008,5,30,254,1513
ROBERT,NA,LANG,NA,1946,8,16,255,2523
STEFAN,NA,ENGEL,NA,1951,10,15,256,632
CHRISTIAN,NA,MUELLER,NA,1973,5,25,257,2543
HERMANN,NA,RICHTER,NA,1995,1,31,258,367
ALFRED,NA,FISCHER,KOEHLER,1939,11,10,259,2202
PAUL,NA,LEHMANN,NA,1968,5,27,260,1059
THORSTEN,NA,MUELLER,NA,1969,9,9,261,3472
MATTHIAS,NA,HUBER,NA,1955,12,10,262,2471
MARCO,NA,HUBER,NA,1942,12,27,263,1692
KLAUS,NA,SCHROEDER,NA,1993,12,29,264,684
CHRISTIAN,NA,GROSS,NA,1932,12,7,265,2764
HOLGER,HEINRICH,FUCHS,NA,1929,12,2,266,3373
CHRISTIAN,RENE,DIETRICH,NA,1952,7,12,267,2827
MICHAEL,NA,WALTER,NA,1970,7,2,268,2899
JOACHIM,CHRISTIAN,WAGNER,NA,1999,12,8,269,3630
ULRICH,NA,SCHMITT,NA,1961,3,22,270,355
RALF,NA,WALTER,NA,1966,7,21,271,3149
GUENTHER,HELMUT,BRAUN,NA,1950,19,5,272,3597
JAN,NA,SAIER,NA,1939,9,22,273,437
GUENTHER,NA,ERNST,NA,1966,11,21,274,2533
WOLFGANG,NA,MOELLER,NA,1965,5,22,275,2140
PETER,NA,HOFFMANN,NA,1974,1,26,276,3603
UWE,NA,KAISER,NA,2003,3,19,277,2549
MICHAEL,NA,MUELLER,NA,1975,3,9,278,2263
MANFRED,NA,HUBER,NA,1933,1,23,279,1861
VOLKER,NA,SCHOLZ,NA,1976,9,8,280,2747
WILHELM,NA,LEHMANN,NA,1937,10,4,281,353
ANDREAS,NA,ZIMMERMANN,NA,1967,11,28,282,2423
MATTHIAS,NA,BRAUN,NA,1943,9,7,283,3218
HORST,GERGARD,KOCH,NA,1957,2,6,284,1490
CARSTEN,NA,FUCHS,NA,2005,8,4,285,58
WERNER,MICHAEL,HUBER,NA,1994,2,8,286,2178
GUENTHER,NA,SCHMIDT,NA,1947,3,25,287,2880
CHRISTIAN,NA,HOFFMANN,NA,1968,8,20,288,3943
OLAF,NA,SCHNEIDER,NA,1981,11,18,289,2373
OLIVER,NA,KRAUSE,NA,1993,10,21,290,746
WILHELM,NA,BRAUN,NA,1996,3,17,291,710
HELMUT,NA,SCHNEIDER,NA,1939,1,20,292,1928
NILS,NA,WEBER,NA,1944,10,28,293,1303
NORBERT,NA,SCHULTE,NA,1990,5,23,294,2755
HANS,NA,MEYER,NA,1973,9,10,295,1019
PETER,NA,SCHMIDT,NA,1979,1,8,296,3302
WILHELM,NA,MUELLER,NA,1986,2,2,297,2067
ANDREAS,NA,MAYER,NA,1961,8,7,298,4002
PETEIR,NA,KOEHLER,NA,1952,10,17,299,2216
HELMUT,NA,MAYER,NA,1965,7,23,300,1033
THOMAS,NA,BOEHM,NA,1964,1,10,301,1445
ERNST,NA,BRAUN,NA,1964,7,26,302,1052
PETER,NA,KRAUS,NA,1957,6,3,303,4406
JUERGEN,NA,MUELLER,NA,1985,6,23,304,428
THORSTEN,NA,KOCH,NA,1939,13,19,305,2176
ALEXANDER,NA,ROTH,NA,1934,12,1,306,931
THORSTEN,NA,KRUEGER,NA,1940,8,20,307,997
HERMANN,NA,LORENZ,NA,1953,10,17,308,3488
THOMAS,NA,SCHAEFER,NA,1948,8,2,309,3236
ANDRE,NA,SCHNEIDER,NA,1934,4,11,310,4418
MICHAEL,NA,MUELLER,NA,1973,3,2,311,1884
MANFRED,NA,HARTMANN,NA,1996,8,22,312,3018
THOMAS,NA,SCHNEIDER,NA,1997,1,20,313,2094
KLAUS,NA,SCHMIDT,NA,1994,1,31,314,176
PAUL,NA,MARTIN,NA,2008,2,26,315,2231
UWE,THOMAS,GROSS,NA,1963,12,18,316,409
THOMAS,NA,SCHMID,NA,1993,3,5,317,3964
ANDREAS,NA,WEBER,NA,1967,2,21,318,1869
ERWIN,ROLF,ZIMMERMANN,NA,1995,10,28,319,2371
PETER,NA,HARTMANN,NA,1957,2,19,320,3600
MICHAEL,NA,WEBER,NA,1962,11,10,321,2470
JUERGEN,NA,WOLFF,NA,1939,7,24,322,2039
ANDREAS,NA,KRUEGER,NA,1967,13,10,323,3649
KLAUS,NA,BAUER,NA,2000,5,15,324,132
MICHAEL,NA,SCHMIDT,NA,1944,5,20,325,4244
FRANK,NA,FRANKE,NA,1929,5,17,326,3103
STEFAN,NA,BAUER,NA,2004,12,19,327,3585
ROELF,NA,SCHAEFER,NA,1939,7,22,328,1647
STEFAN,NA,HUBER,NA,1933,5,27,329,129
WILHELM,NA,SCHMIDT,NA,1952,5,15,330,1916
SVEN,PETER,WEBER,NA,1964,11,17,331,2469
WOLFGANG,NA,WEISS,NA,1943,12,13,332,125
DANIEL,NA,HOFMANN,NA,1978,11,15,333,581
ANDREAS,NA,MAYER,NA,1940,6,21,334,197
WERNER,NA,MOELLER,NA,1946,6,7,335,942
PETER,NA,MUELLER,NA,1950,4,2,336,2048
WOLFGANG,NA,MEYER,NA,1977,10,2,337,1363
PETER,UWE,KLEIN,NA,1962,4,25,338,3898
HEIKO,NA,SCHNEIDER,NA,1931,8,24,339,1197
PETER,NA,ALBRECHT,NA,1941,2,15,340,3710
JOACHIM,NA,SCHULZ,NA,1947,4,10,341,1448
JOACHIM,NA,SCHMIDT,NA,1986,4,23,342,3490
ALEXANDER,NA,BAUMANN,NA,1957,9,7,343,1137
HANS,NA,WALTER,NA,1964,4,12,344,502
HARALD,NA,JUNG,NA,1952,8,28,345,3617
HORSST,NA,KUHN,NA,1959,12,4,346,1643
STEFAN,NA,PETERS,NA,1999,5,14,347,2495
WALTER,NA,HOFFMANN,NA,1968,1,22,348,2480
WILHELM,NA,LUDWIG,NA,1997,3,23,349,1572
BERNHD,NA,KRUEGER,NA,1968,5,17,350,1026
CARSTEN,NA,MARTIN,NA,1990,3,2,351,3093
JOERG,NA,WERNER,NA,1961,7,22,352,2264
NORBERT,NA,BERGMANN,NA,1964,5,14,353,2994
JENS,NA,SCHNEIDER,NA,1963,7,28,354,276
MARTIN,NA,BECKER,NA,1931,9,23,355,2057
SIEGFRIED,ANDREAS,BRAUN,NA,1955,2,8,356,3190
MICHAEL,NA,HOFMANN,NA,1931,7,1,357,2406
JAN,NA,BECKER,NA,1984,3,28,358,2500
WERNMER,NA,KUEHN,NA,1977,6,23,359,728
STEFAN,NA,MAYER,NA,1950,9,24,360,2372
GERHARD,NA,LANGE,NA,1961,3,8,361,3805
FRANK,NA,HAAS,NA,1957,3,9,362,3452
FLORIAN,NA,MEIER,NA,2002,1,9,363,159
ALFRED,NA,ZIEGLER,NA,1946,4,11,364,2953
STEFAN,NA,SCHULTE,NA,1995,3,22,365,747
HEINZ,NA,FISCHER,NA,1980,4,26,366,1465
ANDREAS,NA,HEINRICH,NA,1947,9,6,367,1733
HELMUT,NA,KLEIN,NA,1968,3,27,368,2402
ANDREAS,NA,KLEIN,NA,1931,4,24,369,1361
MANFRED,NA,MUELLER,NA,1927,3,20,370,345
HORST,NA,FISCHER,NA,1939,6,17,371,3006
GERHARD,NA,BECKER,NA,1957,4,27,372,250
FRANK,NA,BAUER,NA,1996,4,16,373,71
UWE,NA,MAIER,NA,1935,2,28,374,4127
CARSTEN,NA,SCHNEIDER,NA,1944,1,22,375,151
CARSTEN,NA,HARTMANN,NA,1962,2,18,376,419
THORSTEN,HEINZ,HUBER,NA,1947,12,26,377,4269
KLAUS,NA,FISCHER,NA,1988,1,16,378,3690
NILS,NA,LEHMANN,NA,1948,8,29,379,2300
MARTIN,NA,MUELLDR,NA,1977,5,27,380,2154
HEINZ,NA,HARTMANN,NA,1937,7,20,381,4425
HORST,NA,MEYER,NA,1991,7,12,382,2070
CARSTEN,NA,SCHAEFER,NA,2006,1,27,383,66
OLIVER,NA,FRANKE,NA,1944,9,14,384,4304
MARTIN,NA,WEBER,NA,1929,9,20,385,1251
KAI,NA,BRAUN,NA,1993,4,25,386,1830
HELMUT,NA,MEYER,NA,1953,5,3,387,3738
STEFAN,NA,BECKER,NA,2005,12,15,388,3980
GERHARD,NA,KLEIN,NA,1931,5,16,389,2285
MICHAEL,NA,HERRMANN,NA,2006,7,17,390,3477
MARIO,NA,KAISER,NA,2006,9,17,391,3681
JUERGEN,NA,PETERS,NA,1976,9,1,392,2071
UWE,ANDREAS,POHL,NA,1999,4,27,393,2316
ANDREAS,KLAUS,MEYER,NA,1982,5,23,394,156
SVEN,NA,SCHNEIDER,NA,1928,5,20,395,1392
SVEN,NA,SCHWARZ,NA,1980,6,2,396,2774
JUERGEN,NA,ERNST,NA,1950,6,18,397,116
DIETER,NA,SCHAEFER,NA,1952,12,12,398,363
GUENTHER,NA,THOMAS,NA,2004,2,17,399,172
THORSTEN,NA,BRAUN,NA,1946,2,13,400,3517
HANS,NA,WEBER,NA,2008,5,23,401,1260
FRIEDRICH,NA,MEYER,NA,1986,7,6,402,2516
MANFRED,NA,MEYER,NA,1972,6,13,403,4256
JOACHIM,NA,ENGEL,NA,1948,6,18,404,397
JUERGEN,NA,SCHMITZ,NA,1949,9,28,405,2735
UWE,NA,LANG,NA,1973,10,31,406,945
JAN,NA,MARTIN,NA,1958,6,19,407,3695
SEBASTIAN,NA,KRAUSE,NA,1989,1,6,408,4377
MARTIN,NA,KOCH,NA,1944,11,30,409,4181
DETLEF,NA,BUSCH,NA,1967,4,18,410,3937
GERHARD,NA,WALTER,NA,1972,5,30,411,1517
HERBERT,NA,BAUER,NA,2008,8,20,412,2612
CARSTEN,NA,WAGNER,NA,1934,4,21,413,2037
KLAUS,NA,WAGNER,NA,1955,6,23,414,274
WERNER,NA,FRANK,NA,1989,6,3,415,425
HELMUT,NA,RICHTER,NA,1941,5,21,416,774
JUERGEN,NA,MUELLER,NA,1956,3,7,417,729
ANDREAS,NA,SCHMITT,NA,1961,8,24,418,1508
GERD,NA,HOFFMANN,NA,1992,0,8,419,2559
ANDREANS,KARL,HOFMANN,NA,1954,12,19,420,4089
ROLF,NA,MUELLER,NA,2000,4,29,421,1913
MANFRESD,NA,FUCHS,NA,1956,7,18,422,1372
PAUL,NA,SCHMITZ,NA,2004,7,15,423,1404
WOLFGANG,NA,SCHMITZ,NA,1983,12,16,424,542
MICHAEL,DIETER,SCHAEFER,NA,1990,6,5,425,2458
ANDREAS,BERND,KOEHLER,NA,2000,1,2,426,2320
JOERG,NA,ZIMMERMANN,NA,1961,7,4,427,923
HERMANN,NA,KAISER,NA,1967,2,7,428,2512
HEINZ,NA,SCHWARZ,NA,1968,9,30,429,3235
GERHARD,WERNER,SCHULZ,NA,1937,10,20,430,3347
MICHAEL,NA,KRUEGER,NA,1942,6,11,431,1122
JUERGEN,NA,ZIMMERMANN,NA,1971,2,9,432,107
THOMAS,NA,HOFFMANN,NA,2007,12,13,433,1922
GERD,NA,SCHAEFER,NA,1963,1,11,434,3700
OLAF,NA,BECK,NA,1975,1,31,435,860
JAN,NA,SCHAEFER,NA,1957,1,24,436,2688
CHRISTIAN,NA,KRUEGER,NA,1933,8,15,437,1156
DIETER,NA,MEYER,NA,1953,12,17,438,3674
KLAUS,HEINRICH,KUHN,NA,1986,3,26,439,284
JOERG,NA,WEBER,NA,1999,6,13,440,2224
DIETER,NA,JAEGER,NA,2008,3,26,441,4485
HOLGER,NA,STEIN,NA,1959,10,13,442,2865
GUENTHER,ULRICH,SCHROEDER,NA,2008,11,3,443,3484
BERND,NA,KOCH,NA,2007,8,17,444,4303
HELMUT,NA,LANGE,NA,1994,3,17,445,1568
PETER,NA,FRANK,NA,1990,5,2,446,4062
STEFAN,NA,KRUEGER,NA,1939,8,29,447,2166
CHRISTIAN,NA,KLEIN,NA,1954,5,15,448,4257
KURT,NA,FRIEDRICH,NA,1967,6,20,449,1764
HERMANN,NA,HEINRICH,NA,2003,11,17,450,1070
HEINRICH,NA,MUELLER,NA,2002,1,10,451,158
ANDREAS,NA,BECK,NA,1969,7,9,452,230
OLAF,NA,HOFFMANN,NA,1931,6,9,453,3396
KLAUS,NA,BRAUN,NA,1934,11,25,454,3319
GEORG,NA,HOFFMANN,NA,1928,8,5,455,2628
WOLFGANG,NA,FISCHER,NA,1967,2,26,456,1657
BERND,NA,SCHAEFER,NA,1952,9,9,457,3494
HORST,NA,FRIEDRICH,NA,1996,6,19,458,514
MICHAEL,HARALD,KOEHLER,NA,1948,10,27,459,194
